Cantidad_Envios,Ejercicios_unicos_caller,Cant_envios_paso,Cant_envios_no_paso,Cant_ejerc_pasoTotal_envios,Cant_ejerc_no_pasoTotal_envios,dif_ejerciciosUnicos_Paso,cant_envios,cant_ejercicios_unicos,f_primer_envio,f_ultimo_envio,tiempo_invertido,tiempo_invertido_horas,tiempo_invertido_dias,Avance_caller,avg_tiempo,ID_ultimo_ejercicio_enviado,Ejercicios_unicos_other,Avance_other,Avance_original
33,10,17,16,10,6,0,33,10,2019-08-30 13:17:17.700,2019-09-23 13:17:13.695,23 days 23:59:55.995000,576.0,24.0,0,17.454545454545453,10,36,Deserto,1
41,10,20,21,10,5,0,41,10,2019-09-04 01:29:22.351,2019-09-04 19:38:12.556,0 days 18:08:50.205000,18.15,0.7562,0,0.44268292682926824,10,40,Completo,0
79,7,14,65,6,5,1,79,7,2019-09-04 02:53:01.099,2019-09-28 20:24:59.484,24 days 17:31:58.385000,593.53,24.7304,0,7.513037974683544,7,9,Deserto,1
56,10,19,37,9,6,1,56,10,2019-09-05 14:24:31.797,2019-10-23 12:54:42.385,47 days 22:30:10.588000,1150.5,47.9375,0,20.544642857142858,8,22,Deserto,1
88,9,15,73,7,6,2,88,9,2019-09-23 12:21:30.215,2019-09-23 13:50:20.032,0 days 01:28:49.817000,1.48,0.0617,0,0.01681818181818182,9,19,Deserto,1
56,9,14,42,8,7,1,56,9,2019-09-23 12:21:33.166,2019-09-23 13:32:05.553,0 days 01:10:32.387000,1.18,0.0492,0,0.02107142857142857,9,9,Deserto,1
98,10,18,80,10,8,0,98,10,2019-09-23 12:21:55.508,2019-09-23 13:53:44.824,0 days 01:31:49.316000,1.53,0.0638,0,0.015612244897959184,10,37,Deserto,1
74,10,21,53,9,7,1,74,10,2019-09-23 12:22:51.696,2019-09-23 13:54:33.525,0 days 01:31:41.829000,1.53,0.0638,0,0.020675675675675676,10,16,Deserto,1
60,9,17,43,9,6,0,60,9,2019-09-23 12:22:55.905,2019-09-23 14:24:11.815,0 days 02:01:15.910000,2.02,0.0842,0,0.033666666666666664,10,13,Deserto,1
86,9,19,67,7,7,2,86,9,2019-09-23 12:23:09.365,2019-09-26 23:25:00.569,3 days 11:01:51.204000,83.03,3.4596,0,0.9654651162790698,8,15,Deserto,1
