student_uid,Cantidad_Envios_error_AssertionError,Cantidad_Envios_error_AttributeError,Cantidad_Envios_error_EOFError,Cantidad_Envios_error_IndentationError,Cantidad_Envios_error_NameError,Cantidad_Envios_error_SyntaxError,Cantidad_Envios_error_TypeError,Ejercicios_unicos_error_AssertionError,Ejercicios_unicos_error_AttributeError,Ejercicios_unicos_error_EOFError,Ejercicios_unicos_error_IndentationError,Ejercicios_unicos_error_NameError,Ejercicios_unicos_error_SyntaxError,Ejercicios_unicos_error_TypeError,Cantidad_Envios,Ejercicios_unicos_caller,Cant_envios_paso,Cant_envios_no_paso,Cant_ejerc_pasoTotal_envios,Cant_ejerc_no_pasoTotal_envios,dif_ejerciciosUnicos_Paso,cant_envios,cant_ejercicios_unicos,tiempo_invertido_horas,tiempo_invertido_dias,Avance_caller,avg_tiempo,Ejercicios_unicos_other,Avance_original
76,0,0,0,1,0,5,0,0,0,0,1,0,5,0,89,36,47,42,33,14,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
77,0,0,0,3,3,23,0,0,0,0,3,1,9,0,186,40,95,91,40,19,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
78,0,0,0,40,4,9,0,0,0,0,4,2,3,0,84,9,15,69,7,6,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
79,0,0,0,0,0,9,0,0,0,0,0,0,4,0,95,22,34,61,20,13,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
80,0,0,0,0,1,36,0,0,0,0,0,1,7,0,125,19,29,96,16,10,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
81,0,0,0,1,0,6,0,0,0,0,1,0,4,0,56,9,14,42,8,7,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
82,0,0,0,51,1,75,0,0,0,0,9,1,17,0,256,37,45,211,32,24,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
83,0,0,0,0,0,25,0,0,0,0,0,0,6,0,98,16,31,67,14,10,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
84,0,0,0,5,0,39,0,0,0,0,1,0,7,0,88,13,25,63,13,9,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
85,0,0,0,27,3,75,0,0,0,0,6,2,12,0,162,15,29,133,12,12,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
86,0,0,0,1,2,52,0,0,0,0,1,1,8,0,132,13,25,107,10,8,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
87,0,0,0,0,0,12,0,0,0,0,0,0,3,0,36,6,14,22,5,4,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
